"업체명","카테고리","지역","전화","인스타/공식링크","네이버/카카오 링크","연락방법","접촉일","상태","선등록여부","동의여부","동의일","수정요청","삭제요청","비고"
"다비드키즈카페","민간 키즈카페","예산군","041-404-8008","https://www.facebook.com/davidkidscafe/","","페이스북/전화","","선등록","Y","N","","","","운영시간·요금·사진은 업체 동의 후 보강"
"홍성군가족센터 공동육아나눔터","공동육아나눔터","홍성군","041-631-9337","https://hongseong.familynet.or.kr/","","전화/공식문의","","선등록","Y","N","","","","프로그램 운영 여부 확인 필요"
"거북이마을","농촌체험마을","홍성군","041-631-0402","https://tour.chungnam.go.kr/","","전화","","선등록","Y","N","","","","체험 일정·요금 확인 필요"
"오누이마을","농촌체험마을","홍성군","041-642-8429","https://www.data.go.kr/","","전화","","선등록","Y","N","","","","체험 일정·요금 확인 필요"
"예산앤유행복센터","복합문화·놀이공간","예산군","041-338-1113","https://www.yesan.go.kr/","","전화/공식문의","","좌표검수","Y","N","","","","좌표 확인 후 지도 표시"
"알토란사과마을","농촌체험마을","예산군","041-333-3500","https://www.yesan.go.kr/","","전화","","좌표검수","Y","N","","","","좌표 확인 후 지도 표시"
"용봉산체험 정보화마을","체험마을","홍성군","041-634-0090","https://www.invil.org/","","전화","","좌표검수","Y","N","","","","좌표 확인 후 지도 표시"
"왕대골마을","농촌체험마을","홍성군","041-631-6453","https://www.welchon.com/","","전화","","좌표검수","Y","N","","","","좌표 확인 후 지도 표시"
"위드벅스","곤충·자연 체험","홍성군","확인 필요","","","전화/인스타검색","","검수필요","Y","N","","","","전화·공식 채널 확인 필요"
"남당항 네트어드벤처","실외 놀이시설","홍성군","확인 필요","https://www.hongseong.go.kr/","","공식문의","","검수필요","Y","N","","","","운영기간·전화·좌표 확인 필요"
